5А;5Б;5В;5Г;6А;6Б;6В;7А;7Б;7В;8А;8Б;8В;9А;9Б;9В;10А;10Б;11А;11Б
Русский язык;Математика;Русский язык;Английский язык 1 гр./Английский язык 2 гр. (каб. 24);Труд;Русский язык;Русский язык;Русский язык;Физика;Математика;Английский язык 2 гр./;---;Литература;История;---;---;Физическая культура;Физика;Информатика 2 гр./;Математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Физическая культура;Английский язык 1 гр./Информатика 2 гр.;Литература;Математика;Труд;Математика;Русский язык;Физика;Биология;Литература;Биология;История;Русский язык;Литература;Английский язык ест./;Физика;Обществознание;Русский язык;Информатика 2 гр./;Математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Физическая культура;Русский язык;Математика;Русский язык;Математика;Информатика 1 гр./Английский язык 2 гр.;Литература;Труд;Русский язык;Физика;История;Английский язык эк./Информатика ест.;Биология;Химия;Литература;История;Русский язык;Английский язык ест./География эк. (каб. 42);Химия;Литература;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Английский язык 1 гр./Английский язык 2 гр. (каб. 36);Физкультура;Биология;Литература;Русский язык;Физика;Математика;Труд;Литература;Русский язык;Физика;Английский язык ест./Информатика эк.;История;Биология;Литература;ОБЖ;Химия;География эк. (каб. 42)/Обществознание ест.;Математика;Литература;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Литература;Физкультура;Информатика 1 гр./Английский язык 2 гр.;Математика;Литература;Математика;/Английский язык 2 гр. (каб. 36);Биология;Труд;;Физика;Литература;Английский язык 1 гр./Информатика 2 гр.;Литература;История;Литература;ОБЖ;География ест. (каб. 33)/Химия эк.;Математика;Биология ест. (каб. 28)/Обществознание эк.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Математика;/Английский язык 2 гр.;Английский язык 1 гр./Информатика 2 гр.;Биология;Физика;Литература;;Физическая культура;Труд;---;Литература;Физика;Английский язык 2 гр./Информатика 1 гр.;ОБЖ;Родная русская литература;Литература;География;Химия ест./Обществознание эк. (каб. 42);Литература;Биология ест. (каб. 28)/Обществознание эк.;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;Информатика 1 гр./;;Русский язык;Физическая культура;Английский язык 1 гр./;Физическая культура;Труд;Биология эк.;Химия;Английский язык 1 гр./Английский язык 2 гр. (каб. 27);ОБЖ;Русский язык;;Химия ест./Обществознание эк. (каб. 42);Литература;Физика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Информатика 1 гр./Английский язык 2 гр.;Русский язык;Русский язык;Математика;;Труд;Литература;;;Математика;;;;;;;Математика;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Русский язык;Математика;Физкультура;Информатика 1 гр./Английский язык 2 гр.;Математика;Труд;Информатика 1 гр./Английский язык 2 гр.;Математика;Английский язык 2 гр./Информатика 1 гр.;Русский язык;Шахматы;Обществознание ест./Английский язык эк. (каб. 48);Русский язык;География;Математика;Обществознание;Математика;Литература;Математика;Физическая культура;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Математика;Труд;Физкультура;Английский язык 1 гр./Информатика 2 гр.;Математика;Русский язык;Математика;Английский язык 1 гр./Информатика 2 гр.;Русский язык;Литература;Математика;Химия ест./Биология эк. (каб. 48);География;Русский язык;Английский язык ест./Английский язык эк. (каб. 34);Литература;Английский язык 1 гр./Английский язык 2 гр. (каб. 36);Литература;Математика;История;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
